Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11519224,10854312
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6001732,5815894
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5302469,3446635
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3929948,3761859
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2778880,1893995
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,532648,541160
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,482544,471585
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399423,386851
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366126,359852
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202059,108477
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176377,168552
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153007,143192
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,138872,145936
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,126704,124046
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66614,25338
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62509,56186
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44072,15050
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,33043,46946
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,20880,38084
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12862,11665
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8968,5039
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2151,1843
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,574,918
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,246,635
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,10998036,10818381
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,5748460,5832752
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4158856,3268580
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4058110,3687797
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2278901,1797769
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,570391,533852
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,506651,462819
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,431531,375681
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385345,353479
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,189970,88104
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,164702,169515
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,147649,142078
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,145083,146149
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133115,121779
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,59623,55327
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52284,45612
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50585,19026
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44853,36391
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,29798,11363
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,9233,12273
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8096,4275
US-Canada Border,05/01/2019 12:00:00 AM,Trains,1970,1811
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,968,906
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,920,564
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10485708,10929272
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5656751,5891420
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4232936,3506084
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3756540,3105927
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicles,2020261,1723605
US-Mexico Border,04/01/2019 12:00:00 AM,Trucks,523607,537267
US-Canada Border,04/01/2019 12:00:00 AM,Trucks,480453,456941
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Full,395755,368990
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Full,369314,348200
US-Mexico Border,04/01/2019 12:00:00 AM,Bus Passengers,193892,161390
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Full,139010,143100
US-Mexico Border,04/01/2019 12:00:00 AM,Truck Containers Empty,134149,150150
US-Canada Border,04/01/2019 12:00:00 AM,Truck Containers Empty,122011,121701
US-Canada Border,04/01/2019 12:00:00 AM,Bus Passengers,120373,77348
US-Canada Border,04/01/2019 12:00:00 AM,Rail Containers Empty,60712,53532
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Empty,50626,43941
US-Mexico Border,04/01/2019 12:00:00 AM,Rail Containers Full,41690,34625
US-Canada Border,04/01/2019 12:00:00 AM,Pedestrians,31199,14968
US-Mexico Border,04/01/2019 12:00:00 AM,Buses,12695,12133
US-Canada Border,04/01/2019 12:00:00 AM,Train Passengers,12689,10921
US-Canada Border,04/01/2019 12:00:00 AM,Buses,5048,4017
US-Canada Border,04/01/2019 12:00:00 AM,Trains,1830,1805
US-Mexico Border,04/01/2019 12:00:00 AM,Trains,917,902
US-Mexico Border,04/01/2019 12:00:00 AM,Train Passengers,823,477
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,11369171,10709322
US-Mexico Border,03/01/2019 12:00:00 AM,Personal Vehicles,6349409,5662425
US-Mexico Border,03/01/2019 12:00:00 AM,Pedestrians,4051156,3233548
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicle Passengers,3618844,2849468
US-Canada Border,03/01/2019 12:00:00 AM,Personal Vehicles,1990949,1589933
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,557357,527223
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,488019,441402
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,366576,339013
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,351276,377847
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,173426,155372
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,154832,147809
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,151426,138938
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,126897,119104
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,89276,71384
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,64841,47878
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,44849,29514
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,42217,44803
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,18494,13206
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,13114,9824
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,12552,11924
US-Canada Border,03/01/2019 12:00:00 AM,Buses,4410,3821
US-Canada Border,03/01/2019 12:00:00 AM,Trains,1827,1795
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,974,866
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,313,560
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,9804295,11614350
US-Mexico Border,02/01/2019 12:00:00 AM,Personal Vehicles,5262397,6062454
US-Mexico Border,02/01/2019 12:00:00 AM,Pedestrians,3410482,3056615
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicle Passengers,2775888,2923049
US-Canada Border,02/01/2019 12:00:00 AM,Personal Vehicles,1534261,1645605
US-Mexico Border,02/01/2019 12:00:00 AM,Trucks,510384,544062
US-Canada Border,02/01/2019 12:00:00 AM,Trucks,423218,459586
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Full,373033,382661
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Full,323615,354411
US-Mexico Border,02/01/2019 12:00:00 AM,Truck Containers Empty,141224,154394
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Full,123479,154397
US-Mexico Border,02/01/2019 12:00:00 AM,Bus Passengers,120749,189995
US-Canada Border,02/01/2019 12:00:00 AM,Truck Containers Empty,115581,122627
US-Canada Border,02/01/2019 12:00:00 AM,Bus Passengers,75215,67553
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Empty,39869,49738
US-Canada Border,02/01/2019 12:00:00 AM,Rail Containers Empty,38770,56987
US-Mexico Border,02/01/2019 12:00:00 AM,Rail Containers Full,27162,31866
US-Canada Border,02/01/2019 12:00:00 AM,Pedestrians,12008,14404
US-Mexico Border,02/01/2019 12:00:00 AM,Buses,10750,13098
US-Canada Border,02/01/2019 12:00:00 AM,Train Passengers,9091,10558
US-Canada Border,02/01/2019 12:00:00 AM,Buses,3764,3879
US-Canada Border,02/01/2019 12:00:00 AM,Trains,1583,2007
US-Mexico Border,02/01/2019 12:00:00 AM,Trains,809,924
US-Mexico Border,02/01/2019 12:00:00 AM,Train Passengers,307,813
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,11614350,0
US-Mexico Border,01/01/2019 12:00:00 AM,Personal Vehicles,6062454,0
US-Mexico Border,01/01/2019 12:00:00 AM,Pedestrians,3056615,0
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicle Passengers,2923049,0
US-Canada Border,01/01/2019 12:00:00 AM,Personal Vehicles,1645605,0
US-Mexico Border,01/01/2019 12:00:00 AM,Trucks,544062,0
US-Canada Border,01/01/2019 12:00:00 AM,Trucks,459586,0
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Full,382661,0
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Full,354411,0
US-Mexico Border,01/01/2019 12:00:00 AM,Bus Passengers,189995,0
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Full,154397,0
US-Mexico Border,01/01/2019 12:00:00 AM,Truck Containers Empty,154394,0
US-Canada Border,01/01/2019 12:00:00 AM,Truck Containers Empty,122627,0
US-Canada Border,01/01/2019 12:00:00 AM,Bus Passengers,67553,0
US-Canada Border,01/01/2019 12:00:00 AM,Rail Containers Empty,56987,0
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Empty,49738,0
US-Mexico Border,01/01/2019 12:00:00 AM,Rail Containers Full,31866,0
US-Canada Border,01/01/2019 12:00:00 AM,Pedestrians,14404,0
US-Mexico Border,01/01/2019 12:00:00 AM,Buses,13098,0
US-Canada Border,01/01/2019 12:00:00 AM,Train Passengers,10558,0
US-Canada Border,01/01/2019 12:00:00 AM,Buses,3879,0
US-Canada Border,01/01/2019 12:00:00 AM,Trains,2007,0
US-Mexico Border,01/01/2019 12:00:00 AM,Trains,924,0
US-Mexico Border,01/01/2019 12:00:00 AM,Train Passengers,813,0
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12331710,11489442
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6285544,6187037
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4219017,3688941
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3877840,4248415
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2004164,2246646
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,467286,504206
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,408793,489615
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,317619,363068
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277243,364046
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,168119,139774
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,144404,141455
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136361,134180
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,96727,144256
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90203,151810
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58036,61712
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,34616,40007
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20695,41856
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,20353,32291
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,12040,13037
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,11425,24792
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4020,6684
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1941,1932
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,909,738
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,687,726
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,10903280,11548059
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,5504798,6255261
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3946938,3663141
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3478837,4325373
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1931975,2278113
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476770,490899
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,464678,508159
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,387272,360647
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358756,364575
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163211,137430
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,149504,143731
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,146562,140945
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,126321,134966
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,100201,156971
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,58498,62034
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,48709,39137
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21280,43914
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,19881,33532
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13281,13013
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11702,26101
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4682,6885
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1958,1930
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,745,725
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,683,744
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,11486353,11554915
US-Mexico Border,10/01/2018 12:00:00 AM,Personal Vehicles,6460845,6232419
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicle Passengers,4038159,4357285
US-Mexico Border,10/01/2018 12:00:00 AM,Pedestrians,3647791,3664847
US-Canada Border,10/01/2018 12:00:00 AM,Personal Vehicles,2239732,2282378
US-Canada Border,10/01/2018 12:00:00 AM,Trucks,526180,486979
US-Mexico Border,10/01/2018 12:00:00 AM,Trucks,479277,511368
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Full,414072,354711
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Full,398315,360826
US-Mexico Border,10/01/2018 12:00:00 AM,Truck Containers Empty,157687,142180
US-Canada Border,10/01/2018 12:00:00 AM,Bus Passengers,157252,156940
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Full,154415,135543
US-Canada Border,10/01/2018 12:00:00 AM,Truck Containers Empty,138657,134556
US-Mexico Border,10/01/2018 12:00:00 AM,Bus Passengers,132547,141878
US-Canada Border,10/01/2018 12:00:00 AM,Rail Containers Empty,51704,63182
US-Canada Border,10/01/2018 12:00:00 AM,Pedestrians,49337,43311
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Empty,48298,38119
US-Mexico Border,10/01/2018 12:00:00 AM,Rail Containers Full,42978,32483
US-Canada Border,10/01/2018 12:00:00 AM,Train Passengers,14849,27351
US-Mexico Border,10/01/2018 12:00:00 AM,Buses,14030,12900
US-Canada Border,10/01/2018 12:00:00 AM,Buses,6358,6943
US-Canada Border,10/01/2018 12:00:00 AM,Trains,1957,1927
US-Mexico Border,10/01/2018 12:00:00 AM,Train Passengers,922,703
US-Mexico Border,10/01/2018 12:00:00 AM,Trains,704,749
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,11573159,11552635
US-Mexico Border,09/01/2018 12:00:00 AM,Personal Vehicles,6021925,6258731
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicle Passengers,4371483,4355511
US-Mexico Border,09/01/2018 12:00:00 AM,Pedestrians,3515736,3683486
US-Canada Border,09/01/2018 12:00:00 AM,Personal Vehicles,2292948,2281057
US-Canada Border,09/01/2018 12:00:00 AM,Trucks,461319,490187
US-Mexico Border,09/01/2018 12:00:00 AM,Trucks,414556,523470
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Full,361836,353821
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Full,360258,360897
US-Canada Border,09/01/2018 12:00:00 AM,Bus Passengers,174487,154747
US-Mexico Border,09/01/2018 12:00:00 AM,Bus Passengers,155894,140126
US-Mexico Border,09/01/2018 12:00:00 AM,Truck Containers Empty,139504,142515
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Full,135371,135564
US-Canada Border,09/01/2018 12:00:00 AM,Truck Containers Empty,126781,135528
US-Canada Border,09/01/2018 12:00:00 AM,Rail Containers Empty,62882,63219
US-Canada Border,09/01/2018 12:00:00 AM,Pedestrians,53847,41994
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Full,41111,31404
US-Mexico Border,09/01/2018 12:00:00 AM,Rail Containers Empty,34989,38511
US-Canada Border,09/01/2018 12:00:00 AM,Train Passengers,29324,27105
US-Mexico Border,09/01/2018 12:00:00 AM,Buses,13373,12841
US-Canada Border,09/01/2018 12:00:00 AM,Buses,7893,6824
US-Canada Border,09/01/2018 12:00:00 AM,Trains,1940,1925
US-Mexico Border,09/01/2018 12:00:00 AM,Trains,870,733
US-Mexico Border,09/01/2018 12:00:00 AM,Train Passengers,846,685
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,12211691,11458484
US-Mexico Border,08/01/2018 12:00:00 AM,Personal Vehicles,6519390,6221494
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicle Passengers,6217899,4089455
US-Mexico Border,08/01/2018 12:00:00 AM,Pedestrians,3779058,3669833
US-Canada Border,08/01/2018 12:00:00 AM,Personal Vehicles,2985959,2180357
US-Mexico Border,08/01/2018 12:00:00 AM,Trucks,535379,521768
US-Canada Border,08/01/2018 12:00:00 AM,Trucks,508577,487559
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Full,360419,360965
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Full,249828,368677
US-Canada Border,08/01/2018 12:00:00 AM,Bus Passengers,231144,143833
US-Mexico Border,08/01/2018 12:00:00 AM,Bus Passengers,192707,132614
US-Mexico Border,08/01/2018 12:00:00 AM,Truck Containers Empty,158678,140206
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Full,148219,133757
US-Canada Border,08/01/2018 12:00:00 AM,Truck Containers Empty,139355,134982
US-Canada Border,08/01/2018 12:00:00 AM,Pedestrians,83518,36062
US-Canada Border,08/01/2018 12:00:00 AM,Rail Containers Empty,59627,63732
US-Canada Border,08/01/2018 12:00:00 AM,Train Passengers,55548,23041
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Full,38067,30453
US-Mexico Border,08/01/2018 12:00:00 AM,Rail Containers Empty,28149,39991
US-Mexico Border,08/01/2018 12:00:00 AM,Buses,14715,12573
US-Canada Border,08/01/2018 12:00:00 AM,Buses,9219,6482
US-Canada Border,08/01/2018 12:00:00 AM,Trains,1915,1927
US-Mexico Border,08/01/2018 12:00:00 AM,Trains,907,709
US-Mexico Border,08/01/2018 12:00:00 AM,Train Passengers,669,687
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,10760197,11574865
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicle Passengers,6109865,3752720
US-Mexico Border,07/01/2018 12:00:00 AM,Personal Vehicles,6081900,6244759
US-Mexico Border,07/01/2018 12:00:00 AM,Pedestrians,3915658,3628862
US-Canada Border,07/01/2018 12:00:00 AM,Personal Vehicles,2897730,2060795
US-Mexico Border,07/01/2018 12:00:00 AM,Trucks,512442,523323
US-Canada Border,07/01/2018 12:00:00 AM,Trucks,482519,488400
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Full,361549,360868
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Full,333392,374558
US-Mexico Border,07/01/2018 12:00:00 AM,Bus Passengers,226143,117026
US-Canada Border,07/01/2018 12:00:00 AM,Bus Passengers,223435,130566
US-Mexico Border,07/01/2018 12:00:00 AM,Truck Containers Empty,151048,138399
US-Canada Border,07/01/2018 12:00:00 AM,Truck Containers Empty,129565,135885
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Full,121841,135743
US-Canada Border,07/01/2018 12:00:00 AM,Pedestrians,80296,28690
US-Canada Border,07/01/2018 12:00:00 AM,Rail Containers Empty,60100,64338
US-Canada Border,07/01/2018 12:00:00 AM,Train Passengers,47945,18891
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Full,40456,28785
US-Mexico Border,07/01/2018 12:00:00 AM,Rail Containers Empty,33297,41107
US-Mexico Border,07/01/2018 12:00:00 AM,Buses,15528,12081
US-Canada Border,07/01/2018 12:00:00 AM,Buses,9366,6002
US-Canada Border,07/01/2018 12:00:00 AM,Trains,1972,1920
US-Mexico Border,07/01/2018 12:00:00 AM,Trains,894,678
US-Mexico Border,07/01/2018 12:00:00 AM,Train Passengers,845,661
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11812005,11527437
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6065988,6280514
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4898495,3523565
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3496840,3655266
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2559521,1961049
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,514865,525014
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,484611,489157
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,386226,372224
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364064,360229
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,204373,115804
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,142986,134464
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,125245,141030
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,98796,143132
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,94150,121602
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64396,64326
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,61731,22082
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,42931,14083
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,42515,40825
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,21623,30218
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14214,11654
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9283,5346
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1927,1918
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,673,679
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,641,665
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,11832915,11451068
US-Mexico Border,05/01/2018 12:00:00 AM,Personal Vehicles,6405834,6249184
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicle Passengers,4353154,3316168
US-Mexico Border,05/01/2018 12:00:00 AM,Pedestrians,3568198,3677033
US-Canada Border,05/01/2018 12:00:00 AM,Personal Vehicles,2293716,1877883
US-Mexico Border,05/01/2018 12:00:00 AM,Trucks,557081,516998
US-Canada Border,05/01/2018 12:00:00 AM,Trucks,523568,480555
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Full,408383,363185
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Full,393177,351992
US-Canada Border,05/01/2018 12:00:00 AM,Bus Passengers,197574,95362
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Full,150939,141180
US-Canada Border,05/01/2018 12:00:00 AM,Truck Containers Empty,142897,132356
US-Mexico Border,05/01/2018 12:00:00 AM,Truck Containers Empty,136896,142063
US-Mexico Border,05/01/2018 12:00:00 AM,Bus Passengers,85336,130668
US-Canada Border,05/01/2018 12:00:00 AM,Rail Containers Empty,70630,62751
US-Canada Border,05/01/2018 12:00:00 AM,Pedestrians,42426,16996
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Full,41000,27523
US-Mexico Border,05/01/2018 12:00:00 AM,Rail Containers Empty,34336,42448
US-Canada Border,05/01/2018 12:00:00 AM,Train Passengers,26537,10969
US-Mexico Border,05/01/2018 12:00:00 AM,Buses,9992,12070
US-Canada Border,05/01/2018 12:00:00 AM,Buses,8290,4610
US-Canada Border,05/01/2018 12:00:00 AM,Trains,2089,1876
US-Mexico Border,05/01/2018 12:00:00 AM,Train Passengers,869,614
US-Mexico Border,05/01/2018 12:00:00 AM,Trains,599,699
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,12195802,11202823
US-Mexico Border,04/01/2018 12:00:00 AM,Personal Vehicles,6456876,6179953
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicle Passengers,3655264,3203137
US-Mexico Border,04/01/2018 12:00:00 AM,Pedestrians,3596187,3703982
US-Canada Border,04/01/2018 12:00:00 AM,Personal Vehicles,1991849,1839894
US-Mexico Border,04/01/2018 12:00:00 AM,Trucks,537730,510087
US-Canada Border,04/01/2018 12:00:00 AM,Trucks,500077,474048
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Full,376901,358613
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Full,374982,344329
US-Mexico Border,04/01/2018 12:00:00 AM,Truck Containers Empty,144987,141089
US-Canada Border,04/01/2018 12:00:00 AM,Truck Containers Empty,137135,130764
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Full,135325,143132
US-Mexico Border,04/01/2018 12:00:00 AM,Bus Passengers,122616,133352
US-Canada Border,04/01/2018 12:00:00 AM,Bus Passengers,116231,88406
US-Canada Border,04/01/2018 12:00:00 AM,Rail Containers Empty,68976,60676
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Empty,41139,42884
US-Canada Border,04/01/2018 12:00:00 AM,Pedestrians,21991,15332
US-Mexico Border,04/01/2018 12:00:00 AM,Rail Containers Full,19048,30348
US-Mexico Border,04/01/2018 12:00:00 AM,Buses,12817,11821
US-Canada Border,04/01/2018 12:00:00 AM,Train Passengers,12422,10485
US-Canada Border,04/01/2018 12:00:00 AM,Buses,5145,4432
US-Canada Border,04/01/2018 12:00:00 AM,Trains,1959,1848
US-Mexico Border,04/01/2018 12:00:00 AM,Trains,823,658
US-Mexico Border,04/01/2018 12:00:00 AM,Train Passengers,602,619
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicle Passengers,11894108,10857181
US-Mexico Border,03/01/2018 12:00:00 AM,Personal Vehicles,6601078,5969391
